이름,공간유형,수용인원,예약가능시간,예약인원,대관료,이미지URL,홈페이지
강서 ( [서울청년센터 강서] 오픈스페이스 ),라운지,최대 20명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 10일 전까지 신청 가능",최소 10명,15000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2045720,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021152537857543&locale=ko
강서 ( [서울청년센터 강서] 스튜디오 ),편집실,최대 2명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550261,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021151718827942&locale=ko
강서 ( [서울청년센터 강서] 회의실1 ),"강의실, 스터디룸, 회의실",최대 8명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2072095,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021150042672181&locale=ko
강서 ( [서울청년센터 강서] 회의실3 ),"강의실, 스터디룸, 회의실",최대 12명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,10000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550257,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021153726563991&locale=ko
강서 ( [서울청년센터 강서] 회의실2 ),"강의실, 스터디룸, 회의실",최대 8명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2053956,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021153211466073&locale=ko
강북 ( B1 스튜디오실 ),"작업실, 팟캐스트실",최대 1명,"평일 : 10:00 시 ~ 21:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550253,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240104111731059845
도봉 ( 취업 스튜디오(2층) ),"녹음실, 작업실",최대 2명,"평일 : 10:00 시 ~ 20:00시
토요일 : 10:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550504,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230616160355150431
동대문 ( 세미나실 ),세미나실,최대 40명,"평일 : 11:00 시 ~ 12:00시 / 12:00 시 ~ 13:00시 / 13:00 시 ~ 14:00시 / 14:00 시 ~ 15:00시 / 15:00 시 ~ 16:00시 / 16:00 시 ~ 17:00시 / 17:00 시 ~ 18:00시 / 18:00 시 ~ 19:00시 / 19:00 시 ~ 20:00시 / 20:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 12:00시 / 12:00 시 ~ 13:00시 / 13:00 시 ~ 14:00시 / 14:00 시 ~ 15:00시 / 15:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 10명,10000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550071,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220630153035506350
양천 ( 회의실A ),"세미나실, 회의실",최대 1명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550572,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230531161338998825&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%96%91%EC%B2%9C%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
양천 ( 다목적실B ),"미팅룸, 세미나실, 회의실",최대 1명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550571,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230531160612265357&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%96%91%EC%B2%9C%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
양천 ( 다목적실A ),"강의실, 세미나실, 회의실",최대 15명,"평일 : 11:00 시 ~ 20:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 5명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550570,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230523114321175389&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%96%91%EC%B2%9C%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
성동 ( 서울청년센터 성동 4층 공유공간 ),커먼스페이스,최대 15명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2054002,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220526122404171737
강동 ( 소강의실 ),강의실,최대 8명,"평일 : 10:00 시 ~ 12:00시 / 13:00 시 ~ 18:00시 / 19:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 12:00시 / 13:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 2명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2050574,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231102155211165423&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%86%8C%EA%B0%95%EC%9D%98%EC%8B%A4&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
금천 ( 멀티미디어실 ),팟캐스트실,최대 1명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550566,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241023135446387537
금천 ( 회의실 ),미팅룸,최대 10명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550564,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241023140833734147
마포 ( 연결해랑 ),다목적홀,최대 1명,"평일 : 10:00 시 ~ 18:00시
토요일 : 10:00 시 ~ 18:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550246,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240222142724295386&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EB%A7%88%ED%8F%AC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
마포 ( 이루어랑 ),스터디룸,최대 10명,"평일 : 00:00 시 ~ 00:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 4명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550569,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231102163250648345&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EB%A7%88%ED%8F%AC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
마포 ( 모여랑 ),세미나실,최대 4명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 2명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550568,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231102161348857427&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EB%A7%88%ED%8F%AC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
성동 ( 회의실 ),세미나실,최대 8명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 2일 전까지 신청 가능",최소 2명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550410,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230103181918651695
노원 ( 배우다 ),강의실,최대 12명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 5명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550583,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220722144143250673&locale=ko
노원 ( 함께하다 ),"미팅룸, 스터디룸",최대 4명,"평일 : 10:00 시 ~ 20:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 3명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550577,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220722151639410770&locale=ko
광진 ( 촬영소(所) ),"녹음실, 편집실, 팟캐스트실",최대 5명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 2일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550250,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221226142434384737&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EA%B4%91%EC%A7%84%20%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
광진 ( 모여보소(所) ),"강의실, 세미나실, 스터디룸, 회의실",최대 12명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550091,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221223153028813451&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EA%B4%91%EC%A7%84%20%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
노원 ( 해보다 - 컴퓨터 이용 ),다목적홀,최대 1명,"평일 : 10:00 시 ~ 20:00시
토요일 : 11:00 시 ~ 15:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550579,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221021151144642859&locale=ko
노원 ( 해보다 - VR면접 ),작업실,최대 1명,"평일 : 10:00 시 ~ 20:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550582,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220629105403649605&locale=ko
강북 ( 4F 회의실 ),회의실,최대 명,* 대관일 기준 일 전까지 신청 가능,최소 명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1633264,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240104112701756007
강북 ( B1 대교육실 ),"강의실, 세미나실",최대 22명,"평일 : 10:00 시 ~ 21:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550254,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240104104952098517
동대문 ( 미디어실(온라인면접실) ),"편집실, 팟캐스트실",최대 1명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
* 대관일 기준 일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2046439,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%EC%B2%AD%EB%85%84%EC%84%BC%ED%84%B0%20%EB%8F%99%EB%8C%80%EB%AC%B8/place/1755517270?placePath=?entry=pll&from=nx&fromNxList=true&searchType=place&c=15.00,0,0,0,dh"
관악 ( 서재 ),다목적홀,최대 8명,"평일 : 10:00 시 ~ 21:00시
토요일 : 10:00 시 ~ 21:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550296,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240102143428614130&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&sch_pl=SE05&svc_prior=N&sch_reqst_value=
도봉 ( 회의실 (1층) ),미팅룸,최대 6명,"평일 : 10:00 시 ~ 20:00시
토요일 : 10:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 2명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550502,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230616151245305514
관악 ( 라운지 ),라운지,최대 10명,"평일 : 10:00 시 ~ 17:00시
토요일 : 10:00 시 ~ 21:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550294,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240102143934495465&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&sch_pl=SE05&svc_prior=N&sch_reqst_value=
도봉 ( 프로그램실(1층) ),강의실,최대 15명,"평일 : 10:00 시 ~ 20:00시
토요일 : 10:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 5명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550503,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230616154734913273
은평 ( 서울청년센터 은평 빌려방 4층(10명이상) ),"세미나실, 회의실",최대 30명,"평일 : 10:00 시 ~ 20:00시
토요일 : 10:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 2일 전까지 신청 가능",최소 10명,"2시간당 10,000원",https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550575,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230116200051447142&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
은평 ( 서울청년센터 은평_비밀의방(소규모) ),"강의실, 미팅룸, 작업실, 전체대관",최대 6명,"평일 : 10:00 시 ~ 20:00시
토요일 : 10:00 시 ~ 16:00시
* 대관일 기준 2일 전까지 신청 가능",최소 2명,"2시간당 10,000원",https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1743122,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240328163806864937&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%9D%80%ED%8F%89&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
관악 ( 공방 ),작업실,최대 5명,"평일 : 10:00 시 ~ 21:00시
토요일 : 10:00 시 ~ 21:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 7일 전까지 신청 가능",최소 1명,"2시간 10,000원 / 추가 1시간당 5,000원",https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550297,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231230203617755947&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&sch_pl=SE05&svc_prior=N&sch_reqst_value=
동대문 ( 회의실1 ),회의실,최대 4명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550463,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240103211631950282&code=T500&dCode=T514&sch_order=1&sch_choose_list=%0D%0A%09%09%09%09%09%09%3Cbutton%20type%3D%22button%22%20class%3D%22chk_item%20radio_item1%20svc_prior_N%22%20onclick%3D%22fnChooseDel(%27prior%27)%22%3E%EC%95%84%EB%8B%88%EC%98%A4%3Cspan%20class%3D%22chk_x%22%3E%EC%84%A0%ED%83%9D%EC%B7%A8%EC%86%8C%3C%2Fspan%3E%3C%2Fbutton%3E%3Cbutton%20type%3D%22button%22%20class%3D%22chk_item%20sch_pl_SE11%22%20onclick%
동대문 ( 회의실2 ),회의실,최대 4명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2046395,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240103212737612137&code=T500&dCode=T514&sch_order=1&sch_choose_list=%0D%0A%09%09%09%09%09%09%3Cbutton%20type%3D%22button%22%20class%3D%22chk_item%20radio_item1%20svc_prior_N%22%20onclick%3D%22fnChooseDel(%27prior%27)%22%3E%EC%95%84%EB%8B%88%EC%98%A4%3Cspan%20class%3D%22chk_x%22%3E%EC%84%A0%ED%83%9D%EC%B7%A8%EC%86%8C%3C%2Fspan%3E%3C%2Fbutton%3E%3Cbutton%20type%3D%22button%22%20class%3D%22chk_item%20sch_pl_SE11%22%20onclick%
